fetch_time,reported_time,機組類型,機組名稱,裝置容量(MW),淨發電量(MW),淨發電量/裝置容量比(%),備註
2026-09-25T17:00:54,2026-09-26T00:50:00,風力,芳一風,96.0,0.0,0.000%, 
2026-09-25T17:00:54,2026-09-26T00:50:00,風力,芳二風,499.2,0.0,0.000%, 
2026-09-25T17:00:54,2026-09-26T00:50:00,風力,允湖,320.0,0.0,0.000%, 
2026-09-25T17:00:54,2026-09-26T00:50:00,風力,允西,320.0,0.0,0.000%, 
2026-09-25T17:00:54,2026-09-26T00:50:00,風力,中能風,294.5,0.0,0.000%, 
2026-09-25T17:00:54,2026-09-26T00:50:00,風力,龍A風(註10),-,0.0,-, 
2026-09-25T17:00:54,2026-09-26T00:50:00,風力,龍B風(註10),-,0.0,-, 
2026-09-25T17:00:54,2026-09-26T00:50:00,風力,龍三風(註10),-,0.0,-,通訊異常
2026-09-25T17:00:54,2026-09-26T00:50:00,風力,小計(註5),4187.1(6.852%),15.2(0.054%),,
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,觀園,30.0,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,台中港,35.0,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,王功,23.0,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,彰工,86.2,0.0,0.000%,部分檢修
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,雲麥,46.0,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,四湖,28.0,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,其它台電自有,84.7,13.2,15.577%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,苗栗大鵬,42.0,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,鹿威彰濱,55.2,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,觀威觀音&桃威新屋,48.3,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,中威大安,75.9,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,創維風,49.2,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,新源崙背,25.2,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,彰品風(註10),-,0.0,-, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,其它購電風力,178.4,0.6,0.317%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,離岸一期,109.2,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,離岸二期(註10),-,0.5,-, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,海洋竹南,128.0,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,海能風,376.0,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,沃一風,605.2,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,沃二風,294.8,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,沃四風(註10),-,0.0,-, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,沃南風,337.1,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,芳一風,96.0,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,芳二風,499.2,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,允湖,320.0,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,允西,320.0,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,中能風,294.5,0.0,0.000%, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,龍A風(註10),-,0.0,-, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,龍B風(註10),-,0.0,-, 
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,龍三風(註10),-,0.0,-,通訊異常
2026-09-25T17:30:43,2026-09-26T01:20:00,風力,小計(註5),4187.1(6.852%),14.3(0.052%),,
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,觀園,30.0,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,台中港,35.0,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,王功,23.0,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,彰工,86.2,0.0,0.000%,部分檢修
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,雲麥,46.0,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,四湖,28.0,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,其它台電自有,84.7,12.7,14.987%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,苗栗大鵬,42.0,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,鹿威彰濱,55.2,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,觀威觀音&桃威新屋,48.3,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,中威大安,75.9,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,創維風,49.2,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,新源崙背,25.2,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,彰品風(註10),-,0.0,-, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,其它購電風力,178.4,0.5,0.280%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,離岸一期,109.2,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,離岸二期(註10),-,0.7,-, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,海洋竹南,128.0,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,海能風,376.0,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,沃一風,605.2,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,沃二風,294.8,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,沃四風(註10),-,0.0,-, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,沃南風,337.1,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,芳一風,96.0,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,芳二風,499.2,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,允湖,320.0,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,允西,320.0,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,中能風,294.5,0.0,0.000%, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,龍A風(註10),-,0.0,-, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,龍B風(註10),-,0.0,-, 
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,龍三風(註10),-,0.0,-,通訊異常
2026-09-25T18:00:55,2026-09-26T01:50:00,風力,小計(註5),4187.1(6.852%),13.9(0.051%),,
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,觀園,30.0,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,台中港,35.0,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,王功,23.0,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,彰工,86.2,0.0,0.000%,部分檢修
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,雲麥,46.0,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,四湖,28.0,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,其它台電自有,84.7,12.6,14.869%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,苗栗大鵬,42.0,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,鹿威彰濱,55.2,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,觀威觀音&桃威新屋,48.3,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,中威大安,75.9,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,創維風,49.2,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,新源崙背,25.2,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,彰品風(註10),-,0.0,-, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,其它購電風力,178.4,0.5,0.286%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,離岸一期,109.2,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,離岸二期(註10),-,0.7,-, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,海洋竹南,128.0,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,海能風,376.0,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,沃一風,605.2,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,沃二風,294.8,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,沃四風(註10),-,0.0,-, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,沃南風,337.1,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,芳一風,96.0,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,芳二風,499.2,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,允湖,320.0,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,允西,320.0,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,中能風,294.5,0.0,0.000%, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,龍A風(註10),-,0.0,-, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,龍B風(註10),-,0.0,-, 
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,龍三風(註10),-,0.0,-,通訊異常
2026-09-25T18:30:38,2026-09-26T02:20:00,風力,小計(註5),4187.1(6.852%),13.8(0.052%),,
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,觀園,30.0,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,台中港,35.0,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,王功,23.0,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,彰工,86.2,0.0,0.000%,部分檢修
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,雲麥,46.0,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,四湖,28.0,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,其它台電自有,84.7,12.1,14.279%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,苗栗大鵬,42.0,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,鹿威彰濱,55.2,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,觀威觀音&桃威新屋,48.3,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,中威大安,75.9,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,創維風,49.2,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,新源崙背,25.2,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,彰品風(註10),-,0.0,-, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,其它購電風力,178.4,0.5,0.286%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,離岸一期,109.2,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,離岸二期(註10),-,0.9,-, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,海洋竹南,128.0,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,海能風,376.0,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,沃一風,605.2,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,沃二風,294.8,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,沃四風(註10),-,0.0,-, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,沃南風,337.1,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,芳一風,96.0,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,芳二風,499.2,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,允湖,320.0,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,允西,320.0,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,中能風,294.5,0.0,0.000%, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,龍A風(註10),-,0.0,-, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,龍B風(註10),-,0.0,-, 
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,龍三風(註10),-,0.0,-,通訊異常
2026-09-25T19:00:49,2026-09-26T02:50:00,風力,小計(註5),4187.1(6.852%),13.5(0.052%),,
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,觀園,30.0,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,台中港,35.0,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,王功,23.0,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,彰工,86.2,0.0,0.000%,部分檢修
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,雲麥,46.0,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,四湖,28.0,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,其它台電自有,84.7,12.1,14.279%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,苗栗大鵬,42.0,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,鹿威彰濱,55.2,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,觀威觀音&桃威新屋,48.3,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,中威大安,75.9,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,創維風,49.2,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,新源崙背,25.2,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,彰品風(註10),-,0.0,-, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,其它購電風力,178.4,0.6,0.336%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,離岸一期,109.2,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,離岸二期(註10),-,0.9,-, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,海洋竹南,128.0,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,海能風,376.0,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,沃一風,605.2,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,沃二風,294.8,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,沃四風(註10),-,0.0,-, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,沃南風,337.1,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,芳一風,96.0,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,芳二風,499.2,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,允湖,320.0,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,允西,320.0,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,中能風,294.5,0.0,0.000%, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,龍A風(註10),-,0.0,-, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,龍B風(註10),-,0.0,-, 
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,龍三風(註10),-,0.0,-,通訊異常
2026-09-25T19:30:42,2026-09-26T03:20:00,風力,小計(註5),4187.1(6.852%),13.6(0.052%),,
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,觀園,30.0,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,台中港,35.0,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,王功,23.0,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,彰工,86.2,0.0,0.000%,部分檢修
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,雲麥,46.0,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,四湖,28.0,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,其它台電自有,84.7,12.2,14.397%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,苗栗大鵬,42.0,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,鹿威彰濱,55.2,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,觀威觀音&桃威新屋,48.3,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,中威大安,75.9,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,創維風,49.2,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,新源崙背,25.2,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,彰品風(註10),-,0.0,-, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,其它購電風力,178.4,0.5,0.280%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,離岸一期,109.2,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,離岸二期(註10),-,0.7,-, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,海洋竹南,128.0,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,海能風,376.0,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,沃一風,605.2,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,沃二風,294.8,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,沃四風(註10),-,0.0,-, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,沃南風,337.1,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,芳一風,96.0,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,芳二風,499.2,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,允湖,320.0,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,允西,320.0,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,中能風,294.5,0.0,0.000%, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,龍A風(註10),-,0.0,-, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,龍B風(註10),-,0.0,-, 
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,龍三風(註10),-,0.0,-,通訊異常
2026-09-25T20:00:50,2026-09-26T03:50:00,風力,小計(註5),4187.1(6.852%),13.4(0.052%),,
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,觀園,30.0,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,台中港,35.0,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,王功,23.0,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,彰工,86.2,0.0,0.000%,部分檢修
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,雲麥,46.0,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,四湖,28.0,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,其它台電自有,84.7,12.2,14.397%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,苗栗大鵬,42.0,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,鹿威彰濱,55.2,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,觀威觀音&桃威新屋,48.3,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,中威大安,75.9,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,創維風,49.2,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,新源崙背,25.2,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,彰品風(註10),-,0.0,-, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,其它購電風力,178.4,1.2,0.673%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,離岸一期,109.2,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,離岸二期(註10),-,0.7,-, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,海洋竹南,128.0,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,海能風,376.0,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,沃一風,605.2,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,沃二風,294.8,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,沃四風(註10),-,0.0,-, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,沃南風,337.1,0.0,0.000%, 
2026-09-25T20:30:45,2026-09-26T04:20:00,風力,芳一風,96.0,0.0,0.000%, 
