date,機組名稱,avg_MW,capacity_MW,capacity_factor_pct,est_MWh,num_samples
2026-09-01,中威大安,5.336,75.9,7.03,128.06,28
2026-09-01,中能風,79.182,294.5,26.89,1900.37,28
2026-09-01,允湖,109.643,320.0,34.26,2631.43,28
2026-09-01,允西,86.768,320.0,27.11,2082.43,28
2026-09-01,其它台電自有,14.336,84.7,16.93,344.06,28
2026-09-01,其它購電風力,5.118,178.4,2.87,122.83,28
2026-09-01,創維風,8.743,49.2,17.77,209.83,28
2026-09-01,台中港,2.475,35.0,7.07,59.4,28
2026-09-01,四湖,0.961,28.0,3.43,23.06,28
2026-09-01,彰品風(註10),0.0,,,0.0,28
2026-09-01,彰工,3.682,86.2,4.27,88.37,28
2026-09-01,新源崙背,6.182,25.2,24.53,148.37,28
2026-09-01,沃一風,169.907,605.2,28.07,4077.77,28
2026-09-01,沃二風,46.625,294.8,15.82,1119.0,28
2026-09-01,沃南風(註10),0.0,,,0.0,28
2026-09-01,沃四風(註10),94.811,,,2275.46,28
2026-09-01,海洋竹南,3.046,128.0,2.38,73.11,28
2026-09-01,海能風,23.825,376.0,6.34,571.8,28
2026-09-01,王功,0.0,23.0,0.0,0.0,28
2026-09-01,芳一風,22.361,96.0,23.29,536.66,28
2026-09-01,芳二風,109.579,499.2,21.95,2629.89,28
2026-09-01,苗栗大鵬,0.064,42.0,0.15,1.54,28
2026-09-01,觀園,0.375,30.0,1.25,9.0,28
2026-09-01,觀威觀音&桃威新屋,0.289,48.3,0.6,6.94,28
2026-09-01,離岸一期,18.771,109.2,17.19,450.51,28
2026-09-01,離岸二期(註10),0.721,,,17.31,28
2026-09-01,雲麥,2.964,46.0,6.44,71.14,28
2026-09-01,鹿威彰濱,4.632,55.2,8.39,111.17,28
2026-09-01,龍A風(註10),58.875,,,1413.0,28
2026-09-01,龍B風(註10),0.0,,,0.0,28
